============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run22_multi_weighted_80k.json
Job ID:     163455
Node:       sh20
Extra args: 
Start time: Sun Mar 29 03:45:25 AM CEST 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run22_multi_weighted_80k.json) ==========

Using config file: configs/run22_multi_weighted_80k.json
Run directory: outputs/run_021
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 80000
============================================================

--- Evaluation at episode 1000 ---
  EVAL | Agent: 185.3 SABRE: 76.7 | Ratio: 2.88 | Done: 65%
Saved: outputs/run_021/figures/training_curves.png
Saved: outputs/run_021/figures/eval_comparison_ep1000.png
Ep 1025/80000 (1130s) | R: -304.8 | SWAPs: 320 | Gates: 41% | Done: 28% | Loss: 0.011 | Q: -1.6 | ε: 0.946 | Steps: 332316 | ep_time: 1.3s
Ep 1050/80000 (1155s) | R: -275.9 | SWAPs: 297 | Gates: 50% | Done: 40% | Loss: 0.006 | Q: -1.5 | ε: 0.945 | Steps: 339731 | ep_time: 1.4s
Ep 1075/80000 (1185s) | R: -348.4 | SWAPs: 359 | Gates: 30% | Done: 16% | Loss: 0.008 | Q: -1.6 | ε: 0.943 | Steps: 348705 | ep_time: 1.4s
Ep 1100/80000 (1211s) | R: -295.2 | SWAPs: 314 | Gates: 44% | Done: 32% | Loss: 0.009 | Q: -1.6 | ε: 0.942 | Steps: 356552 | ep_time: 0.5s
Ep 1125/80000 (1239s) | R: -317.2 | SWAPs: 336 | Gates: 40% | Done: 28% | Loss: 0.007 | Q: -1.6 | ε: 0.940 | Steps: 364941 | ep_time: 1.3s
Ep 1150/80000 (1267s) | R: -321.7 | SWAPs: 333 | Gates: 37% | Done: 24% | Loss: 0.009 | Q: -1.7 | ε: 0.939 | Steps: 373259 | ep_time: 1.4s
Ep 1175/80000 (1293s) | R: -284.7 | SWAPs: 302 | Gates: 47% | Done: 36% | Loss: 0.010 | Q: -1.7 | ε: 0.938 | Steps: 380806 | ep_time: 1.4s
Ep 1200/80000 (1319s) | R: -299.4 | SWAPs: 317 | Gates: 44% | Done: 32% | Loss: 0.011 | Q: -1.7 | ε: 0.937 | Steps: 388730 | ep_time: 1.3s
