============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run18_multi_bignet_weighted.json
Job ID:     163144
Node:       sh21
Extra args: 
Start time: Sat Mar 28 06:45:39 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run18_multi_bignet_weighted.json) ==========

Using config file: configs/run18_multi_bignet_weighted.json
Run directory: outputs/run_018
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 47,938,133
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 60000
============================================================

--- Evaluation at episode 1000 ---
  EVAL | Agent: 175.8 SABRE: 77.2 | Ratio: 2.53 | Done: 65%
Saved: outputs/run_018/figures/training_curves.png
Saved: outputs/run_018/figures/eval_comparison_ep1000.png
Ep 1025/60000 (1818s) | R: -245.7 | SWAPs: 272 | Gates: 57% | Done: 48% | Loss: 0.005 | Q: -1.2 | ε: 0.940 | Steps: 304406 | ep_time: 2.4s
Ep 1050/60000 (1864s) | R: -295.9 | SWAPs: 314 | Gates: 46% | Done: 32% | Loss: 0.005 | Q: -1.3 | ε: 0.939 | Steps: 312258 | ep_time: 0.9s
Ep 1075/60000 (1900s) | R: -219.7 | SWAPs: 241 | Gates: 60% | Done: 52% | Loss: 0.006 | Q: -1.3 | ε: 0.938 | Steps: 318291 | ep_time: 2.4s
Ep 1100/60000 (1944s) | R: -279.7 | SWAPs: 300 | Gates: 48% | Done: 36% | Loss: 0.005 | Q: -1.3 | ε: 0.936 | Steps: 325786 | ep_time: 0.8s
Ep 1125/60000 (1985s) | R: -257.8 | SWAPs: 280 | Gates: 53% | Done: 44% | Loss: 0.005 | Q: -1.3 | ε: 0.935 | Steps: 332784 | ep_time: 0.9s
Ep 1150/60000 (2024s) | R: -243.0 | SWAPs: 269 | Gates: 56% | Done: 48% | Loss: 0.004 | Q: -1.3 | ε: 0.933 | Steps: 339517 | ep_time: 2.4s
Ep 1175/60000 (2071s) | R: -303.5 | SWAPs: 319 | Gates: 41% | Done: 28% | Loss: 0.005 | Q: -1.3 | ε: 0.932 | Steps: 347487 | ep_time: 2.3s
Ep 1200/60000 (2111s) | R: -258.0 | SWAPs: 275 | Gates: 50% | Done: 40% | Loss: 0.005 | Q: -1.4 | ε: 0.931 | Steps: 354372 | ep_time: 0.7s
