============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run4_multi_fixed.json
Job ID:     162434
Node:       sh06
Extra args: 
Start time: Fri Mar 27 09:51:33 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run4_multi_fixed.json) ==========

Using config file: configs/run4_multi_fixed.json
Run directory: outputs/run_013
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 1350/45000 (953s) | R: -177.1 | SWAPs: 211 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.2 | ε: 0.942 | Steps: 290271 | ep_time: 0.4s
Ep 1375/45000 (971s) | R: -189.7 | SWAPs: 219 | Gates: 69% | Done: 64% | Loss: 0.007 | Q: -1.2 | ε: 0.941 | Steps: 295747 | ep_time: 0.1s
Ep 1400/45000 (988s) | R: -174.2 | SWAPs: 210 | Gates: 77% | Done: 72% | Loss: 0.007 | Q: -1.2 | ε: 0.940 | Steps: 300992 | ep_time: 0.6s
Ep 1425/45000 (1007s) | R: -202.1 | SWAPs: 227 | Gates: 67% | Done: 60% | Loss: 0.008 | Q: -1.2 | ε: 0.939 | Steps: 306657 | ep_time: 1.3s
Ep 1450/45000 (1024s) | R: -200.3 | SWAPs: 228 | Gates: 67% | Done: 60% | Loss: 0.009 | Q: -1.2 | ε: 0.938 | Steps: 312347 | ep_time: 1.2s
Ep 1475/45000 (1040s) | R: -187.6 | SWAPs: 215 | Gates: 70% | Done: 64% | Loss: 0.007 | Q: -1.2 | ε: 0.936 | Steps: 317711 | ep_time: 1.3s
Ep 1500/45000 (1054s) | R: -162.2 | SWAPs: 186 | Gates: 73% | Done: 68% | Loss: 0.008 | Q: -1.2 | ε: 0.936 | Steps: 322366 | ep_time: 0.3s
Ep 1525/45000 (1068s) | R: -147.7 | SWAPs: 180 | Gates: 80% | Done: 76% | Loss: 0.010 | Q: -1.2 | ε: 0.935 | Steps: 326875 | ep_time: 0.4s
Ep 1550/45000 (1086s) | R: -196.1 | SWAPs: 221 | Gates: 66% | Done: 60% | Loss: 0.006 | Q: -1.2 | ε: 0.934 | Steps: 332401 | ep_time: 1.3s
Ep 1575/45000 (1103s) | R: -186.6 | SWAPs: 207 | Gates: 67% | Done: 60% | Loss: 0.007 | Q: -1.2 | ε: 0.932 | Steps: 337578 | ep_time: 1.3s
Ep 1600/45000 (1119s) | R: -167.9 | SWAPs: 202 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.2 | ε: 0.931 | Steps: 342618 | ep_time: 0.5s
Ep 1625/45000 (1134s) | R: -154.4 | SWAPs: 183 | Gates: 76% | Done: 72% | Loss: 0.009 | Q: -1.3 | ε: 0.931 | Steps: 347181 | ep_time: 0.1s
Ep 1650/45000 (1148s) | R: -148.8 | SWAPs: 182 | Gates: 81% | Done: 76% | Loss: 0.008 | Q: -1.3 | ε: 0.930 | Steps: 351721 | ep_time: 0.4s
Ep 1675/45000 (1163s) | R: -156.6 | SWAPs: 188 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.3 | ε: 0.929 | Steps: 356425 | ep_time: 1.3s
Ep 1700/45000 (1178s) | R: -156.8 | SWAPs: 187 | Gates: 77% | Done: 72% | Loss: 0.009 | Q: -1.3 | ε: 0.928 | Steps: 361102 | ep_time: 0.4s
Ep 1725/45000 (1191s) | R: -122.0 | SWAPs: 158 | Gates: 87% | Done: 84% | Loss: 0.007 | Q: -1.2 | ε: 0.927 | Steps: 365064 | ep_time: 0.1s
Ep 1750/45000 (1207s) | R: -182.3 | SWAPs: 208 | Gates: 71% | Done: 64% | Loss: 0.009 | Q: -1.3 | ε: 0.926 | Steps: 370275 | ep_time: 0.2s
Ep 1775/45000 (1219s) | R: -111.7 | SWAPs: 146 | Gates: 87% | Done: 84% | Loss: 0.007 | Q: -1.3 | ε: 0.925 | Steps: 373919 | ep_time: 1.3s
Ep 1800/45000 (1232s) | R: -140.5 | SWAPs: 169 | Gates: 80% | Done: 76% | Loss: 0.007 | Q: -1.3 | ε: 0.924 | Steps: 378149 | ep_time: 0.2s
Ep 1825/45000 (1244s) | R: -113.7 | SWAPs: 145 | Gates: 87% | Done: 84% | Loss: 0.007 | Q: -1.3 | ε: 0.924 | Steps: 381784 | ep_time: 1.4s
Ep 1850/45000 (1263s) | R: -199.7 | SWAPs: 231 | Gates: 67% | Done: 60% | Loss: 0.007 | Q: -1.3 | ε: 0.922 | Steps: 387550 | ep_time: 0.2s
Ep 1875/45000 (1281s) | R: -195.4 | SWAPs: 224 | Gates: 68% | Done: 60% | Loss: 0.009 | Q: -1.3 | ε: 0.921 | Steps: 393139 | ep_time: 1.3s
Ep 1900/45000 (1294s) | R: -128.9 | SWAPs: 161 | Gates: 84% | Done: 80% | Loss: 0.007 | Q: -1.2 | ε: 0.921 | Steps: 397162 | ep_time: 0.5s
Ep 1925/45000 (1308s) | R: -142.9 | SWAPs: 177 | Gates: 81% | Done: 76% | Loss: 0.007 | Q: -1.3 | ε: 0.920 | Steps: 401599 | ep_time: 0.3s
Ep 1950/45000 (1325s) | R: -185.6 | SWAPs: 214 | Gates: 71% | Done: 64% | Loss: 0.005 | Q: -1.3 | ε: 0.919 | Steps: 406946 | ep_time: 0.2s
Ep 1975/45000 (1340s) | R: -158.5 | SWAPs: 188 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.4 | ε: 0.918 | Steps: 411655 | ep_time: 0.2s
Ep 2000/45000 (1357s) | R: -185.6 | SWAPs: 214 | Gates: 68% | Done: 60% | Loss: 0.009 | Q: -1.4 | ε: 0.917 | Steps: 417015 | ep_time: 0.4s

--- Evaluation at episode 2000 ---
  EVAL | Agent: 160.1 SABRE: 76.4 | Ratio: 1.50 | Done: 65%
Saved: outputs/run_013/figures/training_curves.png
Saved: outputs/run_013/figures/eval_comparison_ep2000.png
  Saved checkpoint: outputs/run_013/checkpoints/checkpoint_ep2000.pt
Ep 2025/45000 (1409s) | R: -173.4 | SWAPs: 209 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.916 | Steps: 422243 | ep_time: 1.4s
Ep 2050/45000 (1426s) | R: -176.0 | SWAPs: 209 | Gates: 74% | Done: 68% | Loss: 0.007 | Q: -1.4 | ε: 0.915 | Steps: 427464 | ep_time: 0.5s
Ep 2075/45000 (1444s) | R: -193.5 | SWAPs: 219 | Gates: 68% | Done: 60% | Loss: 0.007 | Q: -1.4 | ε: 0.913 | Steps: 432929 | ep_time: 0.4s
Ep 2100/45000 (1463s) | R: -211.1 | SWAPs: 238 | Gates: 64% | Done: 56% | Loss: 0.008 | Q: -1.4 | ε: 0.912 | Steps: 438879 | ep_time: 0.2s
Ep 2125/45000 (1480s) | R: -169.4 | SWAPs: 201 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.911 | Steps: 443895 | ep_time: 0.5s
Ep 2150/45000 (1499s) | R: -209.1 | SWAPs: 238 | Gates: 65% | Done: 56% | Loss: 0.009 | Q: -1.4 | ε: 0.910 | Steps: 449842 | ep_time: 0.4s
Ep 2175/45000 (1519s) | R: -216.3 | SWAPs: 241 | Gates: 61% | Done: 52% | Loss: 0.007 | Q: -1.4 | ε: 0.909 | Steps: 455871 | ep_time: 0.2s
Ep 2200/45000 (1536s) | R: -177.5 | SWAPs: 211 | Gates: 74% | Done: 68% | Loss: 0.009 | Q: -1.4 | ε: 0.908 | Steps: 461143 | ep_time: 0.4s
Ep 2225/45000 (1547s) | R: -105.9 | SWAPs: 141 | Gates: 87% | Done: 84% | Loss: 0.008 | Q: -1.4 | ε: 0.907 | Steps: 464676 | ep_time: 1.3s
Ep 2250/45000 (1566s) | R: -203.2 | SWAPs: 228 | Gates: 65% | Done: 56% | Loss: 0.010 | Q: -1.4 | ε: 0.906 | Steps: 470384 | ep_time: 1.3s
Ep 2275/45000 (1580s) | R: -137.5 | SWAPs: 170 | Gates: 81% | Done: 76% | Loss: 0.006 | Q: -1.4 | ε: 0.905 | Steps: 474645 | ep_time: 0.3s
Ep 2300/45000 (1596s) | R: -167.4 | SWAPs: 197 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.5 | ε: 0.904 | Steps: 479576 | ep_time: 1.3s
Ep 2325/45000 (1611s) | R: -164.8 | SWAPs: 196 | Gates: 74% | Done: 68% | Loss: 0.009 | Q: -1.5 | ε: 0.903 | Steps: 484478 | ep_time: 0.5s
Ep 2350/45000 (1627s) | R: -165.6 | SWAPs: 198 | Gates: 74% | Done: 68% | Loss: 0.006 | Q: -1.5 | ε: 0.902 | Steps: 489419 | ep_time: 1.4s
Ep 2375/45000 (1640s) | R: -125.1 | SWAPs: 164 | Gates: 84% | Done: 80% | Loss: 0.007 | Q: -1.4 | ε: 0.901 | Steps: 493510 | ep_time: 0.4s
Ep 2400/45000 (1654s) | R: -124.9 | SWAPs: 163 | Gates: 84% | Done: 80% | Loss: 0.008 | Q: -1.4 | ε: 0.900 | Steps: 497593 | ep_time: 0.2s
Ep 2425/45000 (1669s) | R: -162.6 | SWAPs: 194 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.5 | ε: 0.900 | Steps: 502451 | ep_time: 0.1s
Ep 2450/45000 (1683s) | R: -155.6 | SWAPs: 188 | Gates: 75% | Done: 68% | Loss: 0.007 | Q: -1.5 | ε: 0.899 | Steps: 507155 | ep_time: 0.3s
Ep 2475/45000 (1696s) | R: -140.8 | SWAPs: 178 | Gates: 81% | Done: 76% | Loss: 0.009 | Q: -1.5 | ε: 0.898 | Steps: 511593 | ep_time: 0.4s
Ep 2500/45000 (1714s) | R: -189.3 | SWAPs: 215 | Gates: 68% | Done: 60% | Loss: 0.007 | Q: -1.5 | ε: 0.897 | Steps: 516978 | ep_time: 0.2s
Ep 2525/45000 (1732s) | R: -201.3 | SWAPs: 226 | Gates: 65% | Done: 56% | Loss: 0.006 | Q: -1.5 | ε: 0.895 | Steps: 522629 | ep_time: 0.2s
Ep 2550/45000 (1746s) | R: -150.5 | SWAPs: 185 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.5 | ε: 0.895 | Steps: 527263 | ep_time: 0.3s
Ep 2575/45000 (1765s) | R: -214.7 | SWAPs: 242 | Gates: 62% | Done: 52% | Loss: 0.007 | Q: -1.6 | ε: 0.893 | Steps: 533321 | ep_time: 0.1s
Ep 2600/45000 (1780s) | R: -157.0 | SWAPs: 193 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.5 | ε: 0.892 | Steps: 538134 | ep_time: 0.1s
Ep 2625/45000 (1799s) | R: -197.2 | SWAPs: 229 | Gates: 68% | Done: 60% | Loss: 0.007 | Q: -1.6 | ε: 0.891 | Steps: 543852 | ep_time: 0.5s
Ep 2650/45000 (1816s) | R: -180.0 | SWAPs: 210 | Gates: 71% | Done: 64% | Loss: 0.007 | Q: -1.5 | ε: 0.890 | Steps: 549090 | ep_time: 1.4s
Ep 2675/45000 (1832s) | R: -172.0 | SWAPs: 197 | Gates: 71% | Done: 64% | Loss: 0.008 | Q: -1.6 | ε: 0.889 | Steps: 554021 | ep_time: 0.3s
Ep 2700/45000 (1850s) | R: -175.4 | SWAPs: 210 | Gates: 72% | Done: 64% | Loss: 0.007 | Q: -1.6 | ε: 0.888 | Steps: 559263 | ep_time: 0.4s
Ep 2725/45000 (1864s) | R: -144.0 | SWAPs: 177 | Gates: 78% | Done: 72% | Loss: 0.008 | Q: -1.6 | ε: 0.887 | Steps: 563676 | ep_time: 0.2s
Ep 2750/45000 (1885s) | R: -231.9 | SWAPs: 254 | Gates: 59% | Done: 48% | Loss: 0.007 | Q: -1.6 | ε: 0.886 | Steps: 570026 | ep_time: 1.3s
