============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run16_multi_low_eps.json
Job ID:     162869
Node:       sh03
Extra args: 
Start time: Sat Mar 28 09:45:18 AM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run16_multi_low_eps.json) ==========

Using config file: configs/run16_multi_low_eps.json
Run directory: outputs/run_016
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 1300/45000 (922s) | R: -145.2 | SWAPs: 173 | Gates: 80% | Done: 76% | Loss: 0.008 | Q: -1.1 | ε: 0.939 | Steps: 281208 | ep_time: 0.4s
Ep 1325/45000 (936s) | R: -147.4 | SWAPs: 180 | Gates: 80% | Done: 76% | Loss: 0.006 | Q: -1.2 | ε: 0.938 | Steps: 285709 | ep_time: 0.4s
Ep 1350/45000 (953s) | R: -181.5 | SWAPs: 213 | Gates: 73% | Done: 68% | Loss: 0.008 | Q: -1.1 | ε: 0.937 | Steps: 291034 | ep_time: 0.4s
Ep 1375/45000 (971s) | R: -188.9 | SWAPs: 219 | Gates: 70% | Done: 64% | Loss: 0.008 | Q: -1.2 | ε: 0.935 | Steps: 296505 | ep_time: 0.1s
Ep 1400/45000 (987s) | R: -166.8 | SWAPs: 203 | Gates: 77% | Done: 72% | Loss: 0.007 | Q: -1.1 | ε: 0.934 | Steps: 301582 | ep_time: 0.4s
Ep 1425/45000 (1005s) | R: -197.9 | SWAPs: 225 | Gates: 69% | Done: 60% | Loss: 0.009 | Q: -1.2 | ε: 0.933 | Steps: 307218 | ep_time: 1.4s
Ep 1450/45000 (1024s) | R: -196.1 | SWAPs: 223 | Gates: 67% | Done: 60% | Loss: 0.008 | Q: -1.2 | ε: 0.932 | Steps: 312789 | ep_time: 1.4s
Ep 1475/45000 (1041s) | R: -187.4 | SWAPs: 213 | Gates: 70% | Done: 64% | Loss: 0.010 | Q: -1.2 | ε: 0.931 | Steps: 318119 | ep_time: 1.3s
Ep 1500/45000 (1056s) | R: -167.6 | SWAPs: 192 | Gates: 73% | Done: 68% | Loss: 0.006 | Q: -1.2 | ε: 0.930 | Steps: 322911 | ep_time: 0.3s
Ep 1525/45000 (1071s) | R: -155.5 | SWAPs: 186 | Gates: 80% | Done: 76% | Loss: 0.008 | Q: -1.2 | ε: 0.929 | Steps: 327557 | ep_time: 0.5s
Ep 1550/45000 (1090s) | R: -196.5 | SWAPs: 222 | Gates: 66% | Done: 60% | Loss: 0.008 | Q: -1.2 | ε: 0.927 | Steps: 333107 | ep_time: 1.3s
Ep 1575/45000 (1107s) | R: -188.2 | SWAPs: 208 | Gates: 67% | Done: 60% | Loss: 0.008 | Q: -1.2 | ε: 0.926 | Steps: 338315 | ep_time: 1.4s
Ep 1600/45000 (1123s) | R: -170.1 | SWAPs: 205 | Gates: 77% | Done: 72% | Loss: 0.009 | Q: -1.2 | ε: 0.925 | Steps: 343429 | ep_time: 0.6s
Ep 1625/45000 (1138s) | R: -153.2 | SWAPs: 183 | Gates: 78% | Done: 72% | Loss: 0.009 | Q: -1.2 | ε: 0.924 | Steps: 348013 | ep_time: 0.2s
Ep 1650/45000 (1152s) | R: -135.0 | SWAPs: 168 | Gates: 80% | Done: 76% | Loss: 0.009 | Q: -1.2 | ε: 0.923 | Steps: 352224 | ep_time: 0.3s
Ep 1675/45000 (1167s) | R: -155.9 | SWAPs: 187 | Gates: 77% | Done: 72% | Loss: 0.007 | Q: -1.2 | ε: 0.922 | Steps: 356887 | ep_time: 1.4s
Ep 1700/45000 (1183s) | R: -170.2 | SWAPs: 199 | Gates: 77% | Done: 72% | Loss: 0.008 | Q: -1.2 | ε: 0.921 | Steps: 361871 | ep_time: 0.6s
Ep 1725/45000 (1194s) | R: -115.4 | SWAPs: 152 | Gates: 86% | Done: 84% | Loss: 0.010 | Q: -1.2 | ε: 0.920 | Steps: 365661 | ep_time: 0.2s
Ep 1750/45000 (1212s) | R: -182.9 | SWAPs: 209 | Gates: 70% | Done: 64% | Loss: 0.009 | Q: -1.3 | ε: 0.919 | Steps: 370881 | ep_time: 0.3s
Ep 1775/45000 (1223s) | R: -112.4 | SWAPs: 147 | Gates: 87% | Done: 84% | Loss: 0.008 | Q: -1.3 | ε: 0.918 | Steps: 374553 | ep_time: 1.3s
Ep 1800/45000 (1237s) | R: -142.6 | SWAPs: 172 | Gates: 81% | Done: 76% | Loss: 0.007 | Q: -1.2 | ε: 0.917 | Steps: 378846 | ep_time: 0.2s
Ep 1825/45000 (1248s) | R: -105.2 | SWAPs: 137 | Gates: 86% | Done: 84% | Loss: 0.009 | Q: -1.3 | ε: 0.917 | Steps: 382281 | ep_time: 1.4s
Ep 1850/45000 (1266s) | R: -199.0 | SWAPs: 231 | Gates: 67% | Done: 60% | Loss: 0.009 | Q: -1.2 | ε: 0.915 | Steps: 388044 | ep_time: 0.1s
Ep 1875/45000 (1285s) | R: -194.2 | SWAPs: 223 | Gates: 68% | Done: 60% | Loss: 0.008 | Q: -1.3 | ε: 0.914 | Steps: 393611 | ep_time: 1.3s
Ep 1900/45000 (1297s) | R: -126.9 | SWAPs: 158 | Gates: 83% | Done: 80% | Loss: 0.008 | Q: -1.3 | ε: 0.913 | Steps: 397566 | ep_time: 0.4s
Ep 1925/45000 (1311s) | R: -145.3 | SWAPs: 180 | Gates: 81% | Done: 76% | Loss: 0.009 | Q: -1.3 | ε: 0.912 | Steps: 402074 | ep_time: 0.3s
Ep 1950/45000 (1329s) | R: -181.3 | SWAPs: 210 | Gates: 71% | Done: 64% | Loss: 0.008 | Q: -1.3 | ε: 0.911 | Steps: 407316 | ep_time: 0.2s
Ep 1975/45000 (1343s) | R: -145.6 | SWAPs: 176 | Gates: 77% | Done: 72% | Loss: 0.009 | Q: -1.3 | ε: 0.910 | Steps: 411726 | ep_time: 0.1s
